Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;ON  EDJ;4.394.835.131;2,445
ALOS3;ALLOS;ON  EJ  NM;476.976.044;0,419
ALPA4;ALPARGATAS;PN      N1;164.391.149;0,052
AMBP3;AMBIPAR;ON  ATZ NM;37.603.389;0,219
AMOB3;AUTOMOB;ON      NM;533.959.816;0,009
ASAI3;ASSAI;ON      NM;1.345.832.968;0,358
AURE3;AUREN;ON      NM;323.738.747;0,134
AZUL4;AZUL;PN      N2;326.872.005;0,06
AZZA3;AZZAS 2154;ON      NM;136.643.320;0,194
B3SA3;B3;ON  EJ  NM;5.392.540.963;2,674
BBAS3;BRASIL;ON      NM;2.842.613.858;3,313
BBDC3;BRADESCO;ON  EJ  N1;1.484.426.957;0,752
BBDC4;BRADESCO;PN  EJ  N1;5.129.958.973;2,821
BBSE3;BBSEGURIDADE;ON      NM;637.332.335;1,126
BEEF3;MINERVA;ON      NM;261.359.935;0,061
BPAC11;BTGP BANCO;UNT EX  N2;1.287.247.964;1,681
BRAP4;BRADESPAR;PN  EJ  N1;250.969.312;0,197
BRAV3;BRAVA;ON      NM;460.791.208;0,525
BRFS3;BRF SA;ON      NM;814.523.002;0,96
BRKM5;BRASKEM;PNA     N1;265.388.400;0,15
CCRO3;CCR SA;ON      NM;991.920.937;0,492
CEAB3;CEA MODAS;ON  EJ  NM;101.504.341;0,037
CMIG4;CEMIG;PN  EJ  N1;1.858.636.840;0,989
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,394
COGN3;COGNA ON;ON      NM;1.872.454.628;0,099
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,286
CPLE3;COPEL;ON      N2;1.300.330.190;0,517
CPLE6;COPEL;PNB     N2;1.679.233.590;0,741
CRFB3;CARREFOUR BR;ON  EJ  NM;532.664.283;0,139
CSAN3;COSAN;ON      NM;1.150.987.430;0,455
CSMG3;COPASA;ON  EJ  NM;188.462.398;0,192
CSNA3;SID NACIONAL;ON;727.459.637;0,293
CURY3;CURY S/A;ON      NM;133.117.425;0,113
CVCB3;CVC BRASIL;ON      NM;525.591.097;0,039
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,356
CYRE3;CYRELA REALT;ON      NM;273.755.006;0,221
DIRR3;DIRECIONAL;ON      NM;109.826.474;0,136
EGIE3;ENGIE BRASIL;ON  EJ  NM;255.236.938;0,442
ELET3;ELETROBRAS;ON  ED  N1;1.977.170.723;3,257
ELET6;ELETROBRAS;PNB ED  N1;268.875.696;0,493
EMBR3;EMBRAER;ON      NM;734.631.801;2,057
ENEV3;ENEVA;ON      NM;1.929.556.616;0,954
ENGI11;ENERGISA;UNT     N2;326.175.300;0,57
EQTL3;EQUATORIAL;ON      NM;1.249.258.717;1,609
EZTC3;EZTEC;ON      NM;97.334.950;0,051
FLRY3;FLEURY;ON      NM;455.988.366;0,268
GGBR4;GERDAU;PN      N1;1.242.683.687;1,057
GGPS3;GPS;ON      NM;378.836.983;0,261
GMAT3;GRUPO MATEUS;ON      NM;461.006.420;0,135
GOAU4;GERDAU MET;PN      N1;649.238.303;0,311
HAPV3;HAPVIDA;ON      NM;4.779.395.040;0,493
HYPE3;HYPERA;ON  EDJ NM;370.735.677;0,326
IGTI11;IGUATEMI S.A;UNT     N1;211.783.588;0,177
IRBR3;IRBBRASIL RE;ON      NM;81.838.243;0,169
ISAE4;ISA ENERGIA;PN      N1;395.801.044;0,438
ITSA4;ITAUSA;PN      N1;5.778.248.950;2,42
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.792.902.422;7,017
JBSS3;JBS;ON      NM;1.145.962.972;2,044
KLBN11;KLABIN S/A;UNT     N2;765.785.673;0,852
LREN3;LOJAS RENNER;ON  EJ  NM;1.051.120.777;0,627
LWSA3;LWSA;ON      NM;389.635.155;0,062
MGLU3;MAGAZ LUIZA;ON      NM;353.448.195;0,109
MOVI3;MOVIDA;ON  EJ  NM;121.834.637;0,022
MRFG3;MARFRIG;ON      NM;302.019.876;0,25
MRVE3;MRV;ON      NM;377.241.484;0,095
MULT3;MULTIPLAN;ON  EJ  N2;314.150.156;0,313
NTCO3;GRUPO NATURA;ON      NM;850.935.197;0,519
ONCO3;ONCOCLINICAS;ON      NM;573.177.887;0,069
PCAR3;P.ACUCAR-CBD;ON      NM;462.534.972;0,06
PETR3;PETROBRAS;ON  EDJ N2;3.514.947.134;6,968
PETR4;PETROBRAS;PN  EDJ N2;4.431.132.660;7,914
PETZ3;PETZ;ON      NM;293.689.428;0,058
POMO4;MARCOPOLO;PN      N2;666.378.439;0,24
PRIO3;PETRORIO;ON      NM;779.999.989;1,556
PSSA3;PORTO SEGURO;ON  EJ  NM;182.560.698;0,312
RADL3;RAIADROGASIL;ON      NM;1.286.616.979;1,314
RAIL3;RUMO S.A.;ON      NM;1.216.914.397;1,051
RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,125
RDOR3;REDE D OR;ON  EJ  NM;1.145.289.019;1,414
RECV3;PETRORECSA;ON      NM;275.170.410;0,222
RENT3;LOCALIZA;ON      NM;965.986.531;1,531
SANB11;SANTANDER BR;UNT;356.586.730;0,41
SBSP3;SABESP;ON      NM;683.508.568;2,916
SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,162
SMFT3;SMART FIT;ON      NM;328.662.412;0,269
SMTO3;SAO MARTINHO;ON      NM;128.130.966;0,152
STBP3;SANTOS BRP;ON  EJ  NM;855.712.622;0,554
SUZB3;SUZANO S.A.;ON      NM;630.821.784;1,941
TAEE11;TAESA;UNT     N2;218.568.234;0,346
TEND3;TENDA;ON      NM;123.094.246;0,075
TIMS3;TIM;ON  EJ  NM;807.495.418;0,572
TOTS3;TOTVS;ON      NM;540.206.440;0,693
UGPA3;ULTRAPAR;ON      NM;1.090.134.379;0,832
USIM5;USIMINAS;PNA     N1;515.193.199;0,123
VALE3;VALE;ON      NM;4.270.903.023;11,163
VAMO3;VAMOS;ON      NM;485.166.826;0,109
VBBR3;VIBRA;ON  EJ  NM;1.023.538.460;0,884
VIVA3;VIVARA S.A.;ON      NM;125.446.075;0,111
VIVT3;TELEF BRASIL;ON  EJ;382.442.128;0,88
WEGE3;WEG;ON  EJ  NM;1.482.105.837;3,817
YDUQ3;YDUQS PART;ON      NM;277.677.050;0,11
;;;;
